Trial1,Trial2,Trial3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,0,0
2,0,0
4,0,0
0,0,0
2,0,0
3,0,0
2,1,0
4,0,0
0,1,0
2,0,0
1,1,0
1,1,0
0,0,0
0,1,0
2,0,0
6,0,0
3,3,0
2,2,0
0,4,0
6,1,0
4,0,0
5,0,0
1,2,0
1,2,1
1,5,0
1,0,0
1,1,0
2,5,0
2,1,1
3,3,0
5,2,0
1,1,1
3,0,0
1,5,0
3,2,0
6,1,0
3,0,0
1,3,2
2,1,1
2,0,1
7,5,1
0,0,2
0,2,3
1,2,1
2,0,3
2,6,1
4,3,1
2,2,2
2,3,5
14,3,5
19,12,2
14,1,1
10,1,2
3,1,1
1,3,4
12,2,2
9,1,1
4,1,1
6,3,7
4,2,2
8,4,6
3,1,2
6,3,2
2,2,8
2,6,2
1,0,13
2,0,17
3,3,5
1,4,18
2,7,3
4,0,8
4,3,1
3,4,8
0,2,7
2,6,14
6,3,13
5,5,6
2,3,5
9,1,14
7,4,9
9,3,7
1,2,4
1,2,4
3,8,5
19,4,4
11,1,7
1,0,2
4,4,9
3,7,7
4,2,4
2,1,5
1,1,8
1,,
