Trail1,Trial2,Trial3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,1
0,0,0
0,0,12
0,0,0
0,0,0
0,1,0
0,0,2
0,0,1
0,1,0
0,1,5
1,4,2
2,2,5
2,2,38
2,2,1
3,1,2
0,0,1
3,1,0
2,1,0
2,5,0
1,2,3
0,2,0
0,1,0
0,2,0
3,6,0
3,2,0
0,10,0
0,4,2
8,6,0
5,1,5
2,0,0
2,4,4
1,5,5
0,3,2
8,3,4
4,5,7
2,2,3
6,2,2
47,5,5
100,2,6
152,7,6
30,1,6
65,3,5
64,4,2
13,7,8
10,15,10
17,8,8
3,6,7
9,14,6
24,5,5
11,3,7
4,5,8
4,0,3
17,4,6
18,1,5
9,12,2
16,4,3
7,3,3
13,1,1
38,2,3
7,6,1
5,39,11
17,34,8
9,157,2
10,65,4
62,76,5
17,42,4
1,14,19
4,10,18
3,21,10
4,10,19
9,8,14
2,43,5
6,18,8
2,21,1
15,18,19
2,23,10
3,176,8
79,133,11
68,101,6
68,199,7
376,14,14
403,34,8
203,36,2
123,24,7
