Trial1,Trial2,Trial3,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,N
0,0,0,,,
0,0,0,,,
0,0,1,,,
0,0,0,,,
0,0,1,,,
0,0,1,,,
0,0,0,,,
0,0,2,,,
0,0,0,,,
0,0,2,,,
1,0,0,,,
0,0,8,,,
5,0,2,,,
0,0,3,,,
0,0,0,,,
0,0,1,,,
0,0,0,,,
1,0,1,,,
1,0,0,,,
0,0,1,,,
0,0,15,,,
0,0,26,,,
4,0,21,,,
2,0,3,,,
1,0,20,,,
1,0,52,,,
0,0,5,,,
2,0,252,,,
0,0,12,,,
1,0,201,,,
1,0,12,,,
1,0,13,,,
2,0,18,,,
1,0,56,,,
0,0,90,,,
0,0,11,,,
2,0,13,,,
2,0,86,,,
3,0,102,,,
4,0,80,,,
8,0,136,,,
4,0,156,,,
2,0,11,,,
6,0,21,,,
4,0,6,,,
4,0,44,,,
3,0,76,,,
2,0,83,,,
1,0,81,,,
3,0,168,,,
303,0,225,,,
119,0,121,,,
22,0,12,,,
6,0,276,,,
3,0,73,,,
6,0,146,,,
0,0,205,,,
12,0,11,,,
9,0,31,,,
3,0,7,,,
0,0,308,,,
9,0,520,,,
2,0,297,,,
4,0,88,,,
0,0,109,,,
13,0,203,,,
10,0,257,,,
6,0,84,,,
5,0,353,,,
42,0,89,,,
24,0,23,,,
13,0,136,,,
24,0,271,,,
109,0,165,,,
148,0,473,,,
306,0,526,,,
223,0,480,,,
161,0,410,,,
267,0,374,,,
46,0,253,,,
145,0,391,,,
173,0,367,,,
180,0,459,,,
96,0,54,,,
87,0,251,,,
13,0,300,,,
75,0,917,,,
48,0,116,,,
76,0,101,,,
435,0,39,,,
279,0,126,,,
43,0,145,,,
47,0,29,,,
40,0,64,,,
